Reference, Value, Footprint, Datasheet, e44.com, SUPPLIER, SUPPLIER PART NO., Comment
C33,10nf,Capacitors_SMD:C_1206,,,Farnell,1759350,PCB Train free component stock
C12,10uf,Discret:C1V7,,CHR10100,,,
C36,1uf,Capacitors_SMD:C_1206,,,Farnell,1759454,PCB Train free component stock
C25,0.1uf,Capacitors_SMD:C_1206,,,Farnell,1759361,PCB Train free component stock
C21,2.2nf,Capacitors_SMD:C_1206,,,Farnell,1759341,PCB Train free component stock
U3,IL715,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,,,Farnell,9570632,
amp_right1,LM3886T,lib:TO220-11,,LM3886T,,,
C9,22uf,Capacitors_ThroughHole:Capacitor8x13RM3.8,,CHR22100,,,
C1,22uf,Capacitors_ThroughHole:Capacitor8x13RM3.8,,CHR22100,,,
Q3,MMBF170,SMD_Packages:SOT-23,,,Farnell,9845399,
Q4,MMBF170,SMD_Packages:SOT-23,,,Farnell,9845399,
Q5,MMBF170,SMD_Packages:SOT-23,,,Farnell,9845399,
R12,10k,Resistors_SMD:R_1206,,,Farnell,2129728,PCB Train free component stock
R13,10k,Resistors_SMD:R_1206,,,Farnell,2129728,PCB Train free component stock
R14,10k,Resistors_SMD:R_1206,,,Farnell,2129728,PCB Train free component stock
R15,10k,Resistors_SMD:R_1206,,,Farnell,2129728,PCB Train free component stock
R17,10k,Resistors_SMD:R_1206,,,Farnell,2129728,PCB Train free component stock
R16,10k,Resistors_SMD:R_1206,,,Farnell,2129728,PCB Train free component stock
C38,10uf,Discret:C1V7,,CHR10100,,,
FAV_1,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,,BTWM2,,,
U6,LP5907,SMD_Packages:SOT-23-5,,,Digikey,296-38557-1-ND,
C39,1uf,Resistors_SMD:R_1206,,,Farnell,1759454,PCB Train free component stock
C40,1uf,Resistors_SMD:R_1206,,,Farnell,1759454,PCB Train free component stock
ONOFF_1,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,,BTWM2,,,
J8_1,RPI_B+_J8_header,Pin_Headers:Pin_Header_Straight_2x20,
C41,100uf,Capacitors_ThroughHole:Capacitor10x21RM5,,CHR100100,,,
C42,100nf,Capacitors_SMD:C_1206,,,Farnell,1759361,PCB Train free component stock
PWM1_1,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,,BTWM2,,,
Q7,IRF540N,Discret:TO220_VERT,,IRF540NPBF,,,
LED2,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,,BTWM2,,,
P4,CONN_01X05,Pin_Headers:Pin_Header_Straight_1x05,
I2C1_1,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,
